"","Dimension","Rank","Item","Correlation"
"1","Agreeableness",1,"A3",0.749130721657147
"2","Agreeableness",2,"A2",0.716716162177491
"3","Agreeableness",3,"A5",0.669478632690133
"4","Agreeableness",4,"A4",0.636718103883298
"5","Agreeableness",5,"A1",0.572005152375966
"6","Conscientiousness",1,"C4",0.728635435746096
"7","Conscientiousness",2,"C5",0.700373044542388
"8","Conscientiousness",3,"C2",0.686506416089593
"9","Conscientiousness",4,"C3",0.653813417287684
"10","Conscientiousness",5,"C1",0.643198456958957
"11","Extraversion",1,"E2",0.770486802456252
"12","Extraversion",2,"E4",0.73783363033634
"13","Extraversion",3,"E1",0.719617349397675
"14","Extraversion",4,"E3",0.676382773036038
"15","Extraversion",5,"E5",0.639634437657872
"16","Neuroticism",1,"N3",0.800136226399393
"17","Neuroticism",2,"N1",0.795223064505836
"18","Neuroticism",3,"N2",0.781687318902501
"19","Neuroticism",4,"N4",0.712971475804506
"20","Neuroticism",5,"N5",0.678495613562453
"21","Openness",1,"O3",0.665544501588434
"22","Openness",2,"O5",0.663102678990076
"23","Openness",3,"O2",0.642357618139757
"24","Openness",4,"O1",0.604892460146483
"25","Openness",5,"O4",0.490538791629661
